"cluster","gene","avg_log2FC","pct_in","pct_out","p_val","p_val_adj","auc"
"2","TPM1",1.62149704342317,99.203187250996,82.3454429572976,5.8449128213084e-81,9.61488159105232e-79,0.873394884451994
"3","DCN",3.14518045147135,96.0176991150443,41.9071518193225,4.28616917738543e-117,1.41014965935981e-114,0.93895942749914
"3","LUM",2.56679962766527,86.283185840708,16.5621079046424,3.34332455600529e-149,3.84983822624009e-146,0.907275346709453
"3","FBLN1",2.4129600602637,85.8407079646018,8.90840652446675,6.00546410803242e-200,1.38305838407987e-196,0.918997956940296
"3","SERPINF1",2.22181652326051,88.4955752212389,20.8281053952321,2.78156853472035e-142,2.13531744515365e-139,0.918799480352206
"3","MEG3",1.81708964585157,84.5132743362832,14.9937264742785,2.06156549592491e-137,1.18694633427877e-134,0.881347086974384
"3","CCDC80",1.55698929076575,81.858407079646,45.0439146800502,1.67930803364412e-58,2.41715400092651e-56,0.80908078968699
"3","GSN",1.41677605303424,94.2477876106195,86.5746549560853,3.29147752356335e-53,3.60965368417448e-51,0.814839386637945
"3","COL1A2",1.38900438614689,79.646017699115,37.6411543287327,4.98659332168127e-64,8.8339418614092e-62,0.812718601836533
"3","C1R",1.35919645438492,70.7964601769911,21.7691342534504,1.70906821814541e-78,4.37331567376541e-76,0.804227134941873
"3","APOD",1.34442107870855,50.8849557522124,3.4504391468005,1.17264738922263e-121,5.40121387475944e-119,0.743028336349807
"4","DES",2.23997510332805,98.5915492957747,46.110765401369,3.0396750023219e-66,3.50018576517367e-63,0.841722394103263
"4","ACTG2",1.77455195540233,92.9577464788732,63.0989421281892,1.19580461513978e-42,2.75393802866691e-40,0.782788621377717
"4","CNN1",1.55755135234757,98.1220657276995,74.3621655258245,8.76375700256422e-52,3.469103346891e-49,0.816882418760645
"4","RAMP1",1.51121452684573,97.6525821596244,60.360920970753,2.29572266006345e-62,1.76234976204205e-59,0.843136395639967
"4","TCEAL4",1.09578501549248,91.5492957746479,59.8008711885501,1.73928658195101e-40,3.08121307556398e-38,0.773594689898361
"4","TPM2",1.02964837559668,100,91.0392034847542,1.11190437505256e-23,4.34019623007806e-22,0.711160971220394
"4","TAGLN",1.00199954232599,99.0610328638498,94.77286869944,5.80917502131622e-19,1.45418805153166e-17,0.687293852306955
"4","MYLK",0.996282213092315,91.5492957746479,69.1350342252645,4.04362321049679e-26,2.11646914858502e-24,0.720067135858086
"4","ACTA2",0.996250205425905,98.1220657276995,87.1188550093342,4.41892348597056e-16,8.9270006913949e-15,0.67097586556468
"4","TPM1",0.98748401651339,98.5915492957747,82.8251400124456,9.81985472832703e-25,4.6153317223137e-23,0.715810523794082
"5","MTRNR2L8",1.40297641628589,99.1150442477876,90.8611599297012,2.26930729699425e-22,5.02520644709401e-21,0.772796553493942
"5","HES1",1.38751477290524,92.9203539823009,73.1693028705331,4.60185090339585e-22,1.00933929814482e-20,0.768576553597628
"5","MTRNR2L12",1.31725496671254,97.3451327433628,85.4130052724077,1.04063370579598e-25,2.60497763526971e-24,0.793626970672556
"5","SOCS3",1.24091589097242,94.6902654867257,82.5424721734036,5.1007992273857e-22,1.10822081327069e-20,0.769932241525006
"5","JUNB",1.20853098659452,100,98.1839484475688,1.02685914489542e-34,3.63824093952946e-33,0.844712817083223
"5","GADD45B",1.18254336808815,100,99.00410076157,6.97967966326294e-29,1.9844694153697e-27,0.812806196245548
"5","NR4A1",1.12105876575582,96.4601769911504,79.3204452255419,1.16445671206741e-22,2.60363476494296e-21,0.773742683691826
"5","HSPA1A",1.0930921521699,95.5752212389381,85.6473345049795,3.03778433026829e-13,3.99772417863307e-12,0.704286358617043
"5","DUSP1",1.0467319250079,97.3451327433628,90.9197422378442,7.28184119513805e-23,1.64412551690225e-21,0.776018580441804
"5","MYH11",1.03146872257871,97.3451327433628,70.5330990041008,9.8287487541629e-15,1.44175849559472e-13,0.714792292019845
"6","MT1A",2.35278943993187,90.2439024390244,43.6708860759494,7.72367096654405e-35,8.89380711797547e-32,0.868355132055348
"6","C11orf96",1.76524117462506,100,77.560414269275,1.68191627164233e-35,3.87345317359229e-32,0.903779224788796
"6","ADIRF",1.71128476573389,100,85.4430379746835,1.51282263360937e-23,2.68002348092492e-21,0.825900249796514
"6","MT1X",1.699444199265,97.5609756097561,60.4718066743383,3.94199380412915e-26,9.07841173090942e-24,0.835548289314884
"6","CDKN1A",1.60293658991191,100,73.7054085155351,8.80547246614966e-31,5.41371320447797e-28,0.873407196384967
"6","MT2A",1.5810007019662,100,83.2566168009206,2.5093604958902e-20,2.51263357479788e-18,0.800836397316792
"6","CRIP1",1.45770868222031,91.4634146341463,39.9884925201381,3.95393305382211e-20,3.50227223959705e-18,0.769538157119201
"6","H2AFZ",1.43171553531428,98.780487804878,83.9470655926352,6.39274322099315e-29,2.10321251970675e-26,0.863506553650117
"6","CRISPLD2",1.37126933021802,92.6829268292683,46.3751438434983,2.47697373939945e-30,1.14089410436739e-27,0.846978584860647
"6","S100A4",1.29799202310576,96.3414634146341,61.3348676639816,2.33154599264069e-16,1.14245753639394e-14,0.760781245614528
"7","SRGN",3.87800531009675,100,23.6990950226244,2.10034282535714e-57,9.67417905359497e-55,0.999521406195614
