"Gene","distance","Z","FC","p_value","p_adj"
"STMN1",8.90769314705604e-07,0.272341445908996,0.00384243583233839,0.950572878422775,0.999999999999909
"B4GALT1",8.72702996557686e-07,0.267037880319801,0.0036881541284432,0.951574100029057,0.999999999999909
"SOD2",8.48224534447456e-07,0.259694602543901,0.00348415757066326,0.95293079943828,0.999999999999909
"IGFBP5",8.37268031103622e-07,0.256346774984407,0.00339472927695778,0.953538099403608,0.999999999999909
"TAGLN",8.33761843366806e-07,0.255267238725417,0.00336635691391634,0.953732447019888,0.999999999999909
"AP1S2",8.18700050958654e-07,0.25058355854945,0.00324582994393339,0.954567351734775,0.999999999999909
"SNHG12",7.96635555923649e-07,0.243582566008632,0.00307323308545149,0.955790519760591,0.999999999999909
"H2AFZ",7.9075873969379e-07,0.241688914642134,0.00302805757657827,0.956116324803766,0.999999999999909
"UBE2S",7.78356938416486e-07,0.237651489748448,0.00293382179054017,0.956803892742771,0.999999999999909
"MKNK2",7.64969816080155e-07,0.233228822614773,0.00283377083407156,0.957546123898902,0.999999999999909
"RPS2",7.63392040750972e-07,0.232703069310315,0.00282209339851992,0.957633603986455,0.999999999999909
"EGR3",7.55989412431216e-07,0.230223405260714,0.00276762697073879,0.95804405107847,0.999999999999909
"DES",7.25133312726185e-07,0.219650132731244,0.00254631331999823,0.95975502097252,0.999999999999909
"CDKN1C",7.24954743596037e-07,0.219587792344994,0.00254505937962339,0.959764923173109,0.999999999999909
"RYBP",7.23021340278084e-07,0.218911948235309,0.00253150249263071,0.959872136656064,0.999999999999909
"IDI1",7.2119587012585e-07,0.218272362395974,0.00251873565367816,0.959973365561174,0.999999999999909
"TNFAIP3",7.13892536375871e-07,0.215699077946108,0.00246798099270045,0.960378368203249,0.999999999999909
"JPT1",7.13387026339451e-07,0.215520102886094,0.00246448705660607,0.960406401383657,0.999999999999909
"WTAP",6.44501640371858e-07,0.190012111652194,0.00201151919736544,0.964226900273051,0.999999999999909
"H2AFX",6.28221361895363e-07,0.183631835989045,0.00191117971639608,0.965129955060747,0.999999999999909
"TCIM",6.25907403607217e-07,0.182713130869388,0.00189712656312779,0.965258312241793,0.999999999999909
"CLDN5",6.14888264976444e-07,0.178296515880644,0.00183091649369896,0.965869565273806,0.999999999999909
"HSPB6",6.07318671014137e-07,0.175221714783711,0.00178611490074721,0.966289477002712,0.999999999999909
"SELE",6.04351069694623e-07,0.17400699125697,0.00176870220765497,0.966454102736207,0.999999999999909
"BTG1",6.03652192131068e-07,0.173720152214349,0.00176461388340534,0.966492872718152,0.999999999999909
"MDK",5.93807647942662e-07,0.169648097432347,0.00170752747799085,0.967039003646432,0.999999999999909
"POLR2A",5.73119601272484e-07,0.160892123416194,0.00159062077944979,0.968186733282027,0.999999999999909
"CYTOR",5.61798443598763e-07,0.155981340911536,0.00152840057012597,0.968814835523631,0.999999999999909
"KLF4",5.61557566314723e-07,0.155875906278412,0.00152709021387003,0.968828199700827,0.999999999999909
"GEM",5.53117181061977e-07,0.152155919338134,0.00148152991544987,0.969296488479335,0.999999999999909
"EMP3",5.24052525845313e-07,0.138949250404119,0.0013299207579446,0.970909131344685,0.999999999999909
"MSX1",5.08620602609438e-07,0.131671156582175,0.00125274888188271,0.971765415310033,0.999999999999909
"TRIB1",4.88492645535982e-07,0.121878481906779,0.00115555916618507,0.97288232077305,0.999999999999909
"BST2",4.82935727103362e-07,0.119111981800588,0.00112941824224567,0.973190685052732,0.999999999999909
"C12orf65",4.70044714518437e-07,0.112584007064774,0.00106992780683489,0.973906047924313,0.999999999999909
"PIM3",4.65532883236903e-07,0.110261720813677,0.00104948649362326,0.974156428634738,0.999999999999909
"YBX3",4.65474411939876e-07,0.110231494383708,0.00104922287751807,0.974159673472507,0.999999999999909
"ISG15",4.44659884619156e-07,0.0992516092655221,0.000957485111367454,0.975314792874633,0.999999999999909
"TMEM123",4.34002178636495e-07,0.0934521294941849,0.000912136735400115,0.975906271273616,0.999999999999909
"PTGER3",4.23232472994694e-07,0.0874620989058211,0.000867429308106797,0.976503978855682,0.999999999999909
"NEAT1",3.99290507649647e-07,0.0736464416766823,0.000772065416354625,0.977832780074405,0.999999999999909
"MFAP5",3.87268450784625e-07,0.0664300961455994,0.000726273777465592,0.978500038779605,0.999999999999909
"ANXA1",3.78180175719475e-07,0.060841847146864,0.000692585900785233,0.97900447417412,0.999999999999909
"TGFB1",3.6478298401891e-07,0.0523831891328863,0.000644384775314464,0.979748086823382,0.999999999999909
"PDK4",3.60853549546225e-07,0.0498500406437397,0.000630576948905859,0.979966193897438,0.999999999999909
"MAP3K8",3.52428260603739e-07,0.0443351658459517,0.000601474999567699,0.980433852764462,0.999999999999909
"IRF1",3.43083670806076e-07,0.0380802377945629,0.000570001795762247,0.98095254672455,0.999999999999909
"CDC42EP3",3.35814717214876e-07,0.0331094223765052,0.00054610427755286,0.98135603307819,0.999999999999909
"IL6ST",3.33712634241704e-07,0.0316541625759311,0.000539288831170396,0.981472716762999,0.999999999999909
"ARL4D",3.33699964877266e-07,0.0316453670572789,0.000539247883862192,0.981473420022898,0.999999999999909
"SMOC2",3.31137597273004e-07,0.0298603715476959,0.000530998279691363,0.981615654002318,0.999999999999909
"CTNNAL1",3.2640352727003e-07,0.0265300929801,0.000515924098775198,0.981878438134001,0.999999999999909
