"Gene","distance","Z","FC","p_value","p_adj"
"RGS4",1.61908521104931e-16,-1.6037452863705,5.3429031057842e-17,0.99999999416785,0.999999999882318
"AC023794.4",1.61827569474694e-16,-1.6037623011052,5.33756171191566e-17,0.999999994170766,0.999999999882318
"GRIN2C",1.61710581221822e-16,-1.60378690330626,5.32984724998115e-17,0.99999999417498,0.999999999882318
"C11orf88",1.60593641421809e-16,-1.60402257806945,5.25647469398365e-17,0.999999994215213,0.999999999882318
"NOX5",1.59599033033051e-16,-1.60423364962685,5.19156622042898e-17,0.99999999425104,0.999999999882318
"NCF2",1.58459586392347e-16,-1.60447687556688,5.11770116155121e-17,0.999999994292085,0.999999999882318
"LY6G6C",1.58223050443305e-16,-1.60452755795027,5.10243396511113e-17,0.999999994300605,0.999999999882318
"LINC01277",1.57876787052131e-16,-1.60460187109002,5.08012554897734e-17,0.999999994313078,0.999999999882318
"FAM180B",1.5675943044985e-16,-1.60484264727569,5.00847188571518e-17,0.999999994353326,0.999999999882318
"CA4",1.56328384028126e-16,-1.60493593335077,4.98096584410216e-17,0.999999994368853,0.999999999882318
"AC027796.3",1.5626625671421e-16,-1.6049493973296,4.9770076053009e-17,0.999999994371091,0.999999999882318
"OASL",1.56236946027073e-16,-1.60495575104664,4.97514071689343e-17,0.999999994372147,0.999999999882318
"DNAAF3",1.55388818218745e-16,-1.60514005351477,4.92127250669347e-17,0.999999994402698,0.999999999882318
"TM4SF1-AS1",1.54255638779395e-16,-1.60538767590702,4.84975705557709e-17,0.999999994443516,0.999999999882318
"AC025423.1",1.53761914488446e-16,-1.6054960620414,4.81876161256755e-17,0.999999994461301,0.999999999882318
"C16orf89",1.52861362002773e-16,-1.60569454389824,4.76248187860352e-17,0.99999999449374,0.999999999882318
"PIP5K1B",1.52060450375303e-16,-1.60587192526899,4.71270691196388e-17,0.99999999452259,0.999999999882318
"LINC01345",1.50603650711413e-16,-1.606196672657,4.62284024563409e-17,0.999999994575065,0.999999999882318
"MYOM2",1.50281348390801e-16,-1.60626889043178,4.60307501642235e-17,0.999999994586675,0.999999999882318
"GZMH",1.50106689897506e-16,-1.60630808245094,4.59238175386216e-17,0.999999994592967,0.999999999882318
"SIT1",1.48187628058752e-16,-1.60674135012832,4.47570835848367e-17,0.999999994662094,0.999999999882318
"EXPH5",1.47909338129476e-16,-1.60680458636847,4.45891377124926e-17,0.999999994672118,0.999999999882318
"MS4A4A",1.4779488806091e-16,-1.60683062320664,4.45201595731686e-17,0.999999994676241,0.999999999882318
"AC010980.2",1.47059307043359e-16,-1.6069983861181,4.40781051800406e-17,0.999999994702737,0.999999999882318
"CCL26",1.46241499388356e-16,-1.6071857653742,4.35892251302321e-17,0.999999994732196,0.999999999882318
"LCK",1.46198569932518e-16,-1.60719562681104,4.3563637495164e-17,0.999999994733742,0.999999999882318
"ZNF385B",1.46037292666893e-16,-1.60723269685529,4.34675770602279e-17,0.999999994739551,0.999999999882318
"CLEC9A",1.44484743308661e-16,-1.60759139651838,4.25482662192861e-17,0.999999994795476,0.999999999882318
"EYA2",1.43590316512998e-16,-1.60779957614063,4.20231101987096e-17,0.999999994827695,0.999999999882318
"IQSEC3",1.42669690665108e-16,-1.6080150404943,4.14859773305467e-17,0.999999994860857,0.999999999882318
"AC135803.1",1.42465616035604e-16,-1.60806296682319,4.13673791845052e-17,0.999999994868208,0.999999999882318
"CBLN3",1.41702388632394e-16,-1.60824274193857,4.09253336381778e-17,0.9999999948957,0.999999999882318
