"gene","Subject 1 - CSU v3","Subject 1 - CSU v6","Subject 2 - CSU v3","Subject 2 - CSU v6","Subject 3 - CSU v3","Subject 3 - CSU v6","Subject 4 - CSU v3","Subject 4 - CSU v6","Subject 1 - non-CSU","Subject 2 - non-CSU","Subject 3 - non-CSU","Subject 4 - non-CSU","Subject 5 - non CSU","Subject 6 - non CSU","Subject 5 - CSU v3","Subject 5 - CSU v6","Subject 6 - CSU v3","Subject 6 - CSU v6","Subject 7 - CSU v3","Subject 7 - CSU v6","Subject 8 - CSU v3"
"ENSG00000107745",10.70697,10.84788,10.58329,10.37895,10.47104,10.75915,10.53343,10.45457,9.990717,10.26178,9.840612,10.32011,11.01551,10.90034,10.82391,10.78706,10.76627,10.45324,11.02962,10.94675,11.29751
"ENSG00000107758",9.955791,9.515564,10.10581,9.464858,9.800924,9.128261,9.299704,9.225677,9.145884,9.279087,9.334728,9.43883,10.22933,10.08261,10.13171,9.953862,9.832047,10.03708,10.06855,10.20988,10.24519
"ENSG00000107771",11.98876,11.3955,11.75661,11.51103,12.05519,12.20045,11.77843,11.49608,10.92969,11.3554,11.57503,11.37953,11.40643,11.66539,11.58578,11.43132,12.06666,11.7957,11.02281,11.6003,11.52494
"ENSG00000107779",3.411309,3.993302,3.834217,4.300623,3.873554,3.349646,3.882875,3.684444,4.909935,3.711415,3.844699,3.730923,5.476175,6.058156,4.921739,5.319397,5.315384,5.537999,5.448574,5.595701,5.202513
"ENSG00000107789",7.374619,6.833086,7.890474,6.803929,8.085962,8.247398,7.175673,7.120543,6.689909,8.031587,7.268359,7.700382,7.918487,7.520187,7.605783,7.725886,7.346428,7.629748,7.593049,7.841378,7.957157
"ENSG00000107796",7.782231,8.062808,8.252667,7.884097,8.367607,8.553862,8.426156,8.487962,8.695406,7.894612,8.300547,8.271253,8.542975,8.317664,8.426702,8.647566,8.610387,8.763152,9.197791,8.947328,9.03343
"ENSG00000107798",5.830268,5.032053,5.100257,5.961453,6.149333,4.637728,5.609244,6.413027,5.069365,5.291513,5.940292,5.538316,6.605545,6.322216,6.422297,6.495817,6.906172,7.237916,7.059473,6.312539,6.412663
"ENSG00000107807",3.855308,4.195758,4.397392,4.32223,4.461116,4.022827,4.020627,4.51449,4.328684,4.129922,4.117779,4.395743,5.138985,4.539679,5.791728,5.557168,5.157956,5.85608,5.03712,5.389869,5.57025
"ENSG00000107816",5.537784,5.405922,5.476247,5.853656,5.84255,5.681323,5.231743,5.387708,5.379481,5.483601,5.872772,5.700556,6.111009,5.987608,5.930037,6.073992,5.916696,6.055579,6.158225,5.919673,6.203907
"ENSG00000107819",9.154079,8.989794,10.05484,10.04571,8.93681,8.671722,8.750627,9.221185,9.523349,9.386594,9.595266,9.449677,8.825709,9.655694,10.30023,10.24549,9.533973,8.994516,9.907504,9.729952,9.245677
"ENSG00000107821",3.773527,3.656039,3.774398,3.593862,3.715208,3.706214,3.78121,3.613809,4.274021,3.746902,3.73616,3.690055,4.340749,4.006879,4.080549,4.113354,4.189116,4.218864,4.133503,4.049153,4.132582
"ENSG00000107829",9.314737,9.142147,9.331264,9.432028,10.18772,9.452673,9.391637,9.721516,9.614334,9.433245,9.316223,9.315103,10.29996,10.54859,10.06938,10.19916,10.33062,10.25645,10.22553,10.22429,10.13523
"ENSG00000107833",6.268775,6.538048,6.124242,6.430826,6.116072,6.121499,6.011576,6.378974,6.457601,6.181841,6.478498,6.854385,7.326265,7.294462,7.281343,7.097536,7.154757,7.04948,7.314276,7.398387,7.464972
"ENSG00000107854",10.50166,10.40758,10.8568,10.53738,10.78469,10.75888,10.51888,10.4536,10.36527,10.80916,10.05506,10.48321,10.81381,11.32093,11.26051,11.27664,11.17464,11.12772,11.5164,11.37041,10.98666
"ENSG00000107859",4.430407,4.541638,4.773556,4.712585,4.734169,4.623122,4.908351,4.85853,4.50896,5.118927,4.476753,4.485789,6.538753,6.624389,6.65128,6.538818,6.64179,6.574763,7.170191,6.79669,6.448463
"ENSG00000107862",12.6887,12.75066,12.64037,12.7724,12.93698,12.60467,12.42318,12.47965,12.50644,12.8524,12.4608,12.41978,13.16652,13.27894,13.21042,13.14866,13.1472,13.07964,12.903,13.05789,13.19727
"ENSG00000107863",9.92991,9.745892,10.36302,9.996531,9.655055,10.24403,9.605691,9.4766,8.843368,10.08382,8.419545,9.214208,10.53075,11.34309,10.52865,10.65107,10.31622,10.60785,10.71932,10.36634,10.66726
"ENSG00000107864",9.561547,9.472035,10.33347,9.553097,10.21718,9.565418,9.690249,10.29837,10.07419,9.831152,9.659924,9.646603,10.02631,10.00208,9.999315,10.01267,10.04646,9.669538,10.28556,10.03781,10.21678
"ENSG00000107872",5.206956,5.275723,5.350543,5.342721,5.607854,5.824044,5.370865,5.396987,5.331491,5.231812,5.674756,5.388235,5.721062,5.923108,5.741497,5.908283,6.005755,5.715087,6.135873,5.953091,5.884186
"ENSG00000107874",8.896278,8.90644,8.93054,8.758014,9.050362,7.895141,8.526316,8.334539,8.471246,8.58284,8.039232,8.248342,8.380715,8.278792,8.671305,8.602415,8.642317,8.386458,8.552743,8.552743,8.580704
"ENSG00000107890",6.740571,6.609909,6.538431,6.379622,7.079054,6.191284,6.780643,6.503819,6.613268,7.087923,6.416852,6.548584,7.412424,7.044309,7.255592,7.387322,7.446476,7.300524,6.94877,7.325242,7.608588
"ENSG00000107897",8.006139,8.192451,8.535617,8.122367,8.370946,8.485874,7.965935,7.635187,7.89633,7.758012,7.329014,7.387246,8.534953,8.386518,8.330537,8.373115,8.028143,7.834876,9.003882,8.500382,8.746566
"ENSG00000107902",7.351976,7.040263,7.01038,7.117985,7.605144,6.930308,6.949117,7.665487,7.129297,6.184549,7.332138,7.180727,6.28887,5.92936,6.131457,6.431871,6.154991,6.338125,6.657263,6.452802,6.508327
"ENSG00000107929",11.18293,11.22851,10.7243,10.34226,10.72552,10.34153,9.987497,10.297,10.62596,10.4594,10.17379,10.86884,10.36346,9.99155,10.4502,10.07066,10.18757,9.461386,9.818054,9.808638,9.736044
"ENSG00000107937",6.706747,6.391215,6.10071,5.8503,5.909515,6.035339,6.337778,5.678506,6.457351,5.265417,5.888342,5.983594,6.753266,6.899437,6.690021,6.910914,6.801525,6.620304,7.146388,6.520636,6.809943
"ENSG00000107938",9.49357,9.099447,9.464557,9.56093,9.033352,8.918492,8.716139,9.566582,9.286,8.860235,9.343674,9.065092,9.866369,9.690275,9.443348,9.646941,9.06618,9.550601,9.965525,9.885301,9.34928
"ENSG00000107949",8.291026,8.373954,8.025008,8.372101,8.048335,7.584301,8.252297,7.944077,8.193845,8.236746,7.730404,8.078091,8.236285,8.43799,8.388048,8.557415,8.844084,7.850768,8.388048,8.219856,8.315454
"ENSG00000107954",7.10277,6.987119,7.222804,7.006848,7.244759,7.173891,7.523896,7.125056,7.337143,7.164871,7.087094,7.316328,7.56769,7.209377,7.263741,7.330452,7.150811,7.226916,7.687474,7.341154,7.467462
"ENSG00000107957",5.999462,5.636416,5.920736,5.897433,5.498588,6.317771,5.642945,5.772168,6.263179,5.790497,5.98801,5.92511,5.664049,6.200077,6.072181,5.928344,6.279995,6.337337,5.977997,6.181792,6.648827
"ENSG00000107959",9.618908,9.219826,9.533293,9.135162,9.698918,9.375386,9.222414,9.460277,8.821317,9.15605,8.846004,8.935802,9.678297,9.502356,9.206008,9.707098,9.634907,9.166279,9.189584,8.781866,9.102024
"ENSG00000107960",8.883051,8.553127,9.676624,9.386346,9.405269,9.41424,9.243105,9.28221,7.579286,9.372407,8.466703,8.335245,9.429981,10.07171,9.843098,10.03998,9.472802,9.402258,9.679987,9.569243,9.436757
"ENSG00000107968",13.36797,13.83773,14.40586,14.52539,13.9872,14.05359,13.51295,14.45468,13.47,15.21532,12.55884,13.00229,12.38097,15.36123,15.1909,14.90218,14.58021,14.1232,13.81832,14.06077,12.86968
"ENSG00000107984",4.098173,3.8252,3.853652,3.863117,3.813002,4.774776,3.88957,4.06618,3.988689,3.999074,3.486926,3.93947,4.839478,4.952161,5.316619,4.867988,4.64985,4.881482,4.950937,5.114295,5.227902
"ENSG00000108001",4.924406,4.948162,4.786258,4.816618,5.521232,5.361808,4.661523,4.82586,4.80808,4.661591,4.821527,5.145159,5.606528,5.756524,5.886015,5.752732,5.59269,6.171473,5.710392,5.777472,5.746146
"ENSG00000108010",8.077361,8.304079,7.931591,8.087189,8.736293,8.675034,7.280444,7.294382,7.19577,8.141773,6.168872,7.683122,8.548199,8.192105,8.247887,8.259978,8.418733,7.905727,8.358073,8.146594,7.781749
"ENSG00000108018",5.06647,5.062943,5.601424,5.584404,5.459172,6.044005,5.355527,5.540657,4.969556,5.800402,5.534634,5.470727,6.775978,6.603339,6.795316,6.837191,6.552713,7.111303,7.227882,6.847326,6.864199
"ENSG00000108021",6.77046,7.364878,7.316493,7.623078,6.682646,6.313278,8.068906,7.246336,7.178472,6.299859,7.694838,6.845422,6.785125,6.894694,6.546766,6.866495,6.465818,6.297945,6.779347,6.696347,6.542303
"ENSG00000108055",11.78292,12.1186,11.8216,11.68019,11.82331,11.40392,11.16515,11.01724,10.36315,11.4258,10.24487,9.879551,12.69238,12.6325,12.45997,12.49685,12.09905,12.17602,12.62318,12.54846,12.43055
"ENSG00000108061",14.52695,14.05573,14.65398,14.16422,14.30808,14.32681,13.52655,13.83703,13.73309,14.11549,13.58325,13.79574,14.8607,14.96016,14.76556,14.584,14.72549,14.91432,15.11376,14.95073,15.09539
"ENSG00000108064",12.28042,12.25677,10.95188,11.0463,11.54509,11.5002,12.06676,11.63089,11.64227,11.87596,11.66197,11.75447,9.929385,9.205707,9.440416,9.624004,9.431574,9.395304,9.246186,9.400504,9.300797
"ENSG00000108091",10.64821,10.99483,10.51312,10.94162,10.72714,10.55827,11.172,10.61768,10.84101,10.23035,11.03448,10.75861,9.699015,9.175316,10.1043,9.891815,9.906205,10.08274,9.470322,9.782785,10.16316
"ENSG00000108094",10.56943,9.778408,10.4333,10.58598,10.24036,10.24966,10.09282,10.2353,10.13937,10.12211,9.236009,9.863457,10.65773,10.9535,10.64621,10.6074,10.73754,10.8093,10.76452,10.61013,10.73147
"ENSG00000108100",9.230759,9.54147,9.359262,9.234184,8.847009,8.556804,9.688318,9.630058,9.223505,8.209826,9.256748,9.260141,9.041562,8.927713,9.09867,8.878743,8.939553,8.852998,9.133463,8.753739,8.875245
"ENSG00000108106",7.627878,7.513768,7.12818,7.559293,7.268683,7.548182,7.239388,7.154252,7.422968,7.433644,7.6537,8.048698,6.430216,6.513607,6.959599,6.587681,7.213808,6.706991,5.88293,6.352806,6.063073
"ENSG00000108107",14.23529,14.3504,13.43846,14.07553,13.86693,13.847,14.30663,14.65733,14.26299,13.78445,14.64749,14.30585,12.81473,12.02938,12.738,12.4105,12.56513,12.33172,12.02006,11.53001,12.63916
