"gene","Subject 1 - CSU v3","Subject 1 - CSU v6","Subject 2 - CSU v3","Subject 2 - CSU v6","Subject 3 - CSU v3","Subject 3 - CSU v6","Subject 4 - CSU v3","Subject 4 - CSU v6","Subject 1 - non-CSU","Subject 2 - non-CSU","Subject 3 - non-CSU","Subject 4 - non-CSU","Subject 5 - non CSU","Subject 6 - non CSU","Subject 5 - CSU v3","Subject 5 - CSU v6","Subject 6 - CSU v3","Subject 6 - CSU v6","Subject 7 - CSU v3","Subject 7 - CSU v6","Subject 8 - CSU v3"
"ENSG00000131788",11.32031,10.91849,10.8563,11.02592,10.84947,10.95096,11.50745,11.46818,11.80371,10.76605,11.77437,11.21221,10.22407,10.478,10.47296,10.39921,10.34078,10.21235,10.05914,10.14555,9.946981
"ENSG00000131791",10.40592,10.10091,10.54751,10.37386,10.34682,10.30578,10.27501,10.36982,10.76029,9.963496,10.96,10.74691,10.27922,9.981075,10.1855,10.19532,10.14993,10.31876,10.41613,10.27781,10.15147
"ENSG00000131876",11.33211,11.34809,10.51224,10.94981,10.49953,10.37498,10.15269,10.80437,10.45816,10.87407,10.73703,10.46915,11.64649,11.33788,11.18565,11.053,11.36095,10.76159,10.99121,10.94982,11.04977
"ENSG00000132109",10.65263,10.70549,11.09647,11.31828,10.76257,10.85446,11.57301,10.53368,11.31692,10.93375,11.40063,11.22017,10.73364,10.35986,11.05656,11.23789,10.96177,11.01236,10.93938,11.04159,10.51553
"ENSG00000132207",10.91872,10.64656,11.06915,11.35073,11.27051,11.02713,11.27881,11.19014,11.82143,10.93775,11.92222,11.54371,10.02126,11.03276,10.71298,10.52679,10.80801,10.57256,10.61559,10.39739,10.25137
"ENSG00000132274",9.436852,9.653302,10.56623,10.97131,10.66652,10.23738,10.04266,10.0476,9.245311,10.0246,9.413342,8.669165,10.17551,10.8173,10.62652,10.76967,11.09223,12.16231,11.34568,11.02703,10.82151
"ENSG00000132334",11.53535,11.57496,11.87708,11.69948,12.38536,11.89559,12.64473,12.21773,12.52772,12.08835,12.11378,11.99401,11.68073,12.8622,12.1134,12.04484,13.00958,11.92165,11.89954,11.66201,10.94352
"ENSG00000132341",14.22208,14.49568,13.47415,13.59093,13.58719,13.33648,13.31005,13.47069,13.37623,13.55369,12.76348,13.51599,13.12095,12.1743,12.61789,12.66786,12.82028,12.79342,12.69683,12.18457,12.35505
"ENSG00000132356",11.58466,12.12617,11.80588,11.80647,11.34544,11.44115,9.957781,10.73476,10.32419,11.55544,10.25639,11.1608,12.45365,12.62566,12.44556,12.48362,12.5948,12.19399,12.53976,12.3749,12.41527
"ENSG00000132359",12.68096,12.60666,13.56534,13.34676,13.09214,12.56594,11.55766,12.08689,12.70334,13.04204,12.48531,12.57006,13.45664,13.92953,13.37494,13.28136,13.44003,13.03321,13.71476,13.75089,13.81706
"ENSG00000132388",11.02687,11.30744,11.46499,11.56214,11.61818,12.04207,11.356,11.56624,11.30235,11.59898,11.49281,11.6159,11.82823,11.6844,11.73857,11.85687,11.67283,11.59022,11.89221,11.74372,11.58075
"ENSG00000132424",13.28056,13.17752,13.45632,13.45864,13.49228,13.33578,12.94238,13.58468,13.36234,13.51893,13.17405,13.25081,13.19475,13.29355,13.32139,13.47902,13.50239,13.51022,13.28621,13.19325,13.40261
"ENSG00000132432",14.60453,14.42166,14.06208,13.79783,14.08623,14.34168,14.02377,14.33411,14.56721,14.33346,14.70294,14.6632,14.56738,14.02914,14.15256,14.4732,14.12916,14.16322,13.95128,13.96128,14.30923
"ENSG00000132463",10.21375,10.02834,9.867161,9.800068,9.918617,10.02849,10.05057,10.02788,9.585302,10.16752,9.010346,9.351324,10.01571,9.641057,9.983639,9.818941,9.725309,9.637265,9.818941,9.866938,9.678577
"ENSG00000132466",11.00992,10.82595,11.02644,10.99687,10.97847,10.92517,10.8877,10.64124,10.6742,10.89921,10.00414,10.13383,11.80741,11.65925,11.62708,11.58347,11.5359,11.8497,11.5809,11.69438,11.96473
"ENSG00000132471",11.84565,11.83876,12.4865,12.6122,12.09521,12.32948,12.31831,11.99346,12.61376,12.47239,12.53903,12.45122,11.43208,11.9776,11.97809,12.02082,11.78159,11.56903,11.94311,11.84839,11.89711
"ENSG00000132485",11.40935,11.22448,11.70328,11.45615,11.41563,11.71575,11.90172,11.46754,11.17531,11.64737,11.0808,10.97795,11.76598,11.47758,11.80387,11.84852,11.55783,11.69269,11.56557,11.80978,11.53608
"ENSG00000132507",14.29353,14.64522,14.6191,14.60285,14.67189,14.73232,14.60258,14.54469,14.6273,14.32405,14.76033,14.75341,13.81581,13.932,13.75521,13.57507,13.97378,13.83178,13.63738,13.66074,13.67558
"ENSG00000132522",10.81092,10.71897,10.86159,10.95553,10.78222,10.55474,10.9011,10.71857,10.95287,10.97157,10.92807,10.59703,10.84664,11.17514,11.195,11.17503,11.09842,10.8102,10.75044,10.73263,10.94229
"ENSG00000132581",11.78119,11.5463,12.16084,11.61885,11.66728,11.49986,11.64939,11.45293,11.66307,11.72006,11.35823,11.14258,11.64414,11.27279,11.71228,11.87985,11.59948,11.33271,11.79306,11.68641,11.24675
"ENSG00000132604",12.24738,12.14023,12.55409,12.65127,12.30337,12.37869,12.44868,12.20259,12.52574,12.27183,12.64847,12.58551,12.94486,12.99178,12.99585,12.95392,12.89535,13.04719,13.04899,13.04554,12.94106
"ENSG00000132635",10.84224,10.52183,10.83929,11.42347,10.8545,10.73243,10.65371,11.0208,11.3881,10.89091,10.78165,11.49935,9.735985,9.414113,9.470747,9.479589,9.52148,9.344434,9.620901,9.303587,9.711025
"ENSG00000132646",13.36322,14.41649,10.94214,11.40869,11.64195,10.38652,11.89377,12.09822,11.83215,11.26518,11.70257,12.31048,11.22953,9.197684,10.78186,9.905977,10.95671,10.53707,9.83173,8.858334,8.136961
"ENSG00000132670",13.33382,13.31828,13.43125,13.25059,13.53621,13.40227,13.30963,13.27802,13.31042,13.1131,13.17394,13.43961,13.44582,13.5078,13.77216,13.63732,13.5893,13.551,13.49656,13.40448,13.71442
"ENSG00000132676",11.29608,11.35775,11.26289,11.45474,10.9837,10.57975,11.25404,11.16383,10.70585,11.26242,10.92012,10.92977,10.92517,10.7956,10.96028,11.22402,11.11406,11.17349,11.34252,11.31877,10.78818
"ENSG00000132792",16.37781,16.12828,16.12638,15.89001,16.27077,16.36379,16.07534,15.88091,15.83366,16.06984,15.7122,16.02827,16.29921,16.16043,15.85818,16.09661,16.02558,15.92877,15.91528,16.02089,16.31947
