"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",0.00101912622989087,3.08460121188829,0.00925362730217465,"RTN1",0.00146040506987858
"OK",0.00102033386605555,3.08424892623607,0.00945977723573058,"FANCF",0.00146201672668485
"OK",0.00102050309853796,3.084199589138,0.00932744474266797,"IGFBP7-AS1",0.00146214033378329
"OK",0.00102174724839441,3.0838371068826,0.00953777069792915,"ARL17A",0.00146380389874438
"OK",0.00102578051111911,3.08266479632152,0.00918048918589299,"RXRG",0.00146946268472217
"OK",0.00102865854627401,3.08183084758932,0.00942688049893064,"NR1I3",0.00147346578566097
"OK",0.00102903369774454,3.08172230023299,0.00948453353758801,"JRK",0.0014738833595052
"OK",0.0010319829736181,3.08087021099796,0.00936541170739868,"AL359541.1",0.00147798748021712
"OK",0.0010393988488788,3.07873748595171,0.00953254801284974,"INIP",0.00148848739751268
"OK",0.00104233918415604,3.07789573980337,0.00938156807488739,"NCAPG2",0.00149257686214203
"OK",0.00104485571099118,3.07717704759078,0.00913574923152767,"AC009955.4",0.00149595588322309
"OK",0.00104486869242427,3.07717334435504,0.00939597504430796,"TBC1D24",0.00149595588322309
"OK",0.00104604400429861,3.07683823585936,0.00953745228943934,"DYNC2H1",0.00149751693645446
"OK",0.00104755915803602,3.07640673981448,0.00948847363238818,"C15orf65",0.00149956421428549
"OK",0.00104842464132017,3.07616051825548,0.00948027562418107,"AC010618.3",0.00150068124220155
"OK",0.00106576944584939,3.07126498665154,0.00950195674691617,"VCPIP1",0.00152538414230519
"OK",0.00107129683450472,3.06972023933276,0.00948509195976995,"TMEM87B",0.00153317070931271
"OK",0.00107604463324492,3.0683991885158,0.00937946686959793,"PCNX3",0.00153984040370891
"OK",0.00107726445711187,3.06806064170355,0.00913894596259584,"AC009812.4",0.00154146082556695
"OK",0.00108930732768154,3.06473702644963,0.00940798988467738,"IQCD",0.00155856645577104
"OK",0.00108996799409318,3.06455567063944,0.00950644811584195,"LYPLA2",0.00155938512420069
"OK",0.0010918386425614,3.064042715518,0.00936658504750595,"CADM2",0.00156193460490783
"OK",0.0011009508603082,3.06155549359514,0.00930036146228143,"AL356441.1",0.00157484228987106
"OK",0.00110154819605832,3.06139310778584,0.00914440811890094,"AL138966.2",0.0015755688547306
"OK",0.00110780514670814,3.05969698794441,0.00944643222887289,"AGPAT5",0.00158438971761382
"OK",0.00111317475888003,3.05824839143044,0.00920900496726078,"TBX1",0.00159194017493652
"OK",0.00111361602051545,3.05812963420992,0.00944995081665721,"GPRASP1",0.00159244199363386
"OK",0.00111467028501377,3.05784607336292,0.00941173766045781,"ATP8A1",0.00159382023795519
"OK",0.00111512711192518,3.05772327896669,0.0094336331202988,"PIK3CB",0.00159434407702884
