"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",0,40.7874955186379,0.364467862732495,"MAFF",0
"OK",0,39.9769452224585,0.346734465473439,"RPL3",0
"OK",0,71.7977149147652,0.641407071919495,"FBLN1",0
"OK",0,38.994351779157,0.340664846684111,"MT-CO1",0
"OK",0,38.994351779157,0.340664846684111,"MT-CO1.1",0
"OK",0,47.6947801351556,0.425780520391377,"OGN",0
"OK",0,51.1875330872627,0.457188047745635,"SMOC2",0
"OK",4.94065645841247e-324,38.4650628444362,0.343420169684965,"CXCL2",7.90505033345994e-323
"OK",1.97626258336499e-323,38.4295876395678,0.33856777842033,"RPL26",3.06320700421573e-322
"OK",2.47032822920623e-323,38.4244052140504,0.343141615334406,"ATF3",3.8043054729776e-322
"OK",1.73459700306271e-315,37.9528010637914,0.338996537777547,"ZFP36L2",2.66318459894602e-314
"OK",6.08991396265488e-312,37.7372396489505,0.337155316562931,"KCNMB1",9.28812705694961e-311
"OK",1.89883157155266e-308,37.5236019671168,0.335261668343464,"RRAD",2.8769796771617e-307
"OK",6.97466023448369e-308,37.4889378437466,0.334928126441156,"BST2",1.04984591634091e-306
"OK",1.39341843919526e-307,37.4704859970659,0.334611188063974,"SLC9A3R2",2.08379393861473e-306
"OK",2.38654918130419e-307,37.4561331312634,0.334292339959212,"TUBB4B",3.54595017067326e-306
"OK",1.55657343089124e-304,37.2828430104948,0.330153555043233,"RPL29",2.29794141752725e-303
"OK",3.37044699288873e-303,37.2003295774498,0.332300339826499,"COL6A2",4.94403785007818e-302
"OK",7.84014711047361e-303,37.1776453585776,0.332141343301507,"ACTN1",1.14277587312789e-301
"OK",2.09373498109536e-302,37.1512338908338,0.330853905234469,"EMCN",3.03262368645447e-301
"OK",2.59691633852087e-301,37.0834451806394,0.328583608789242,"RGS1",3.73793645475848e-300
"OK",5.41751979266117e-300,37.0014935889279,0.330505713504595,"CD151",7.74940874689359e-299
"OK",7.19665206379536e-300,36.9938236221833,0.330265381923273,"AQP1",1.0230796112914e-298
"OK",1.52116104129772e-299,36.9736012862104,0.330335497464301,"SMTN",2.14922323810346e-298
"OK",2.66308743474268e-298,36.8961540674932,0.329616731196159,"CXCL12",3.73968924525145e-297
"OK",1.01628442270237e-297,36.8598649717548,0.329302505891755,"COL1A2",1.41848668211125e-296
"OK",9.73865024730297e-297,36.7985471471406,0.328769071274203,"PLK2",1.3510910553939e-295
"OK",4.75966457005061e-293,36.5671551974146,0.326699032297859,"COL1A1",6.56377694899794e-292
"OK",3.49658760192622e-292,36.5126201319899,0.323994174481446,"IL1B",4.79323883764053e-291
"OK",3.68267538921466e-290,36.3849471580312,0.32467142776192,"RPL36A",5.01846237950377e-289
"OK",8.46927641067464e-290,36.3620684866104,0.324704663482283,"NR4A1",1.14733785728139e-288
"OK",1.17278579781625e-289,36.3531219031708,0.324779065707893,"ID1",1.57948870898879e-288
"OK",1.80831165460625e-289,36.3412176844356,0.321841661391879,"GADD45B",2.42124519799895e-288
"OK",2.74308239787843e-289,36.3297585364984,0.324578361451457,"ID4",3.65162934237805e-288
"OK",3.58118106711656e-287,36.1955133543322,0.323352186448054,"CKB",4.73991953883301e-286
"OK",8.00101396403144e-286,36.1096525629747,0.322600593848197,"CCDC80",1.05293343766654e-284
"OK",8.67556772030285e-286,36.1074126339734,0.322530752194386,"MYC",1.13521775340099e-284
"OK",1.02161038453297e-285,36.1028889188833,0.322466609201746,"C2orf40",1.32924786190928e-284
"OK",1.61532407615826e-284,36.0263978586396,0.319323292385795,"RPL36",2.08993895920926e-283
"OK",1.46490517399241e-283,35.9651923134071,0.321028927821863,"DNAJB1",1.88473553949973e-282
"OK",5.20171069036545e-282,35.865875368167,0.320308421782935,"ID3",6.65529984439536e-281
"OK",1.03938530609434e-281,35.8465847215452,0.314694095473008,"RPL27A",1.32248859664932e-280
"OK",3.20822108409018e-281,35.8151534084105,0.319972009457031,"CSRNP1",4.05963360256027e-280
"OK",5.52662613380239e-281,35.7999767902414,0.319822128033014,"MT1A",6.95509288860487e-280
"OK",7.47911198365984e-279,35.6627339765175,0.318604638406489,"MARCKSL1",9.36108418389599e-278
"OK",9.8280972386276e-279,35.6550804333185,0.311503370046948,"RPL11",1.22346529408429e-277
"OK",3.2163694862062e-278,35.6218393304557,0.310135684404225,"RPL21",3.98241877781338e-277
"OK",2.12170955863489e-277,35.568881063972,0.317603408366147,"TIMP3",2.61299310884286e-276
"OK",6.05560688228518e-277,35.5394067289456,0.316290497251451,"CXCR4",7.41811843079935e-276
"OK",2.89055151218767e-274,35.3655593264576,0.310577481066384,"RPS3A",3.52219054633238e-273
"OK",4.96269704888311e-272,35.2198762709613,0.314640336051402,"LBH",6.01531121240937e-271
"OK",2.14959830348435e-271,35.1782633413813,0.314226477466544,"ARL6IP1",2.59189784969866e-270
"OK",1.3215136881224e-270,35.1266420277284,0.313788835174634,"IRF1",1.58512813736765e-269
"OK",3.0784480661802e-270,35.1025790064957,0.313579334453033,"MTHFD2",3.67340201886684e-269
"OK",1.20429295874945e-269,35.0637299746338,0.313162180313346,"CEBPB",1.42963231134019e-268
"OK",1.24208983788091e-268,34.9971710012882,0.312648907229562,"MT1E",1.46693994699474e-267
"OK",1.36862671251929e-265,34.7966078567119,0.310382833927192,"PPP1R15A",1.60813638721017e-264
"OK",4.84684213307353e-264,34.6940283617215,0.303927853964897,"FTH1",5.66613067637987e-263
"OK",6.4355180206981e-262,34.552950516793,0.308629427301833,"HEXIM1",7.48535252609481e-261
"OK",1.88721390862425e-260,34.4551182231852,0.307768941290284,"LY6E",2.184047051036e-259
"OK",3.25055590690674e-260,34.4393472219843,0.307604623812566,"HERPUD1",3.74301512680311e-259
"OK",7.01172403671278e-257,34.2159116089485,0.303421988842045,"JUNB",8.03383107291021e-256
"OK",2.1160767157382e-255,34.1162736704884,0.304651057153594,"C1R",2.41253696848766e-254
"OK",2.34959966043997e-255,34.1132077972019,0.299290073998961,"RPS3",2.66558030443017e-254
"OK",6.796850913776e-255,34.0820823873216,0.302164984097627,"JUN",7.67311159530692e-254
"OK",3.02415057952522e-252,33.9028467103333,0.302782428444864,"LGALS3BP",3.39737501690077e-251
"OK",9.5735431882105e-251,33.8008744381559,0.301908086373647,"PHLDA1",1.07028494963344e-249
"OK",1.19163437358653e-249,33.7262589053961,0.293497974601819,"MT-ND4",1.3193913280624e-248
"OK",1.19163437358653e-249,33.7262589053961,0.293497974601819,"MT-ND4.1",1.3193913280624e-248
"OK",3.96333676064323e-249,33.6906385883127,0.30092812882704,"TCEAL3",4.36725577022075e-248
"OK",5.03044806675827e-249,33.683567240309,0.300888303534307,"AEBP1",5.51672471321157e-248
